,source_url,test_name,grade,Logical Fallacy Types,sentence,canocalized_fallacy_types,fallacy_types
38894,https://quizizz.com/admin/quiz/5fb68f454a24b300206df12f/logos-fallacies,Logos Fallacies,9th grade,Slippery Slope,If I don't get this 5 point assignment done then I will fall behind in my grade and will get backed up so I can't get my other assignment done. Then I will fail the class and turn to a life of crime.,slippery slope,slippery slope
39604,https://quizizz.com/admin/quiz/601343982b55e4001d363287/eapp-logical-fallacy,EAPP Logical Fallacy,11th grade,Slippery Slope,"""Once you leave the house, you cannot go back. You will not receive any financial support so you need to stop going to school. Your credit card will be cut so you need to work. You will live on your own.""",slippery slope,slippery slope
39861,https://quizizz.com/admin/quiz/602c1cfa7ad9b8001dd598fe/logical-fallacy-review,Logical Fallacy Review,5th - 7th grade,This has a slippery slope fallacy,"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""But if you let cats go outside, then they'll hunt all the birds in the neighborhood. If you let them hunt all the birds, then robins will go extinct.""",slippery slope,slippery slope
40161,https://quizizz.com/admin/quiz/5e36f5ea727956001bc54707/claim-counter-argument-logical-fallcies,"Claim, Counter argument, logical fallcies",7th - 8th grade,Slippery Slope,"If I don't take this AP class, then I won't do well on the AP exam. If I don't do well on the AP exam, then I can't get into a good college. If I can't get into a good college, then I won't be able to get a good job. If I can't get a good job then I'll have to live in my parents' basement forever. Guess I'll sign up for the AP class.",slippery slope,slippery slope
40265,https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies,Fallacies,9th - 12th grade,Slippery Slope,"“No! Don't eat that piece of chocolate. Today, it's one piece of chocolate, but tomorrow, you've gained 20 lbs!”",slippery slope,slippery slope
40274,https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies,Fallacies,9th - 12th grade,Slippery Slope,"Don't let your cousin borrow $10.00. Next, he's going to be borrowing money from you every day.",slippery slope,slippery slope
40822,https://quizizz.com/admin/quiz/5af1c483515d6600192596f9/english-final-review,English 11 Final Review,11th grade,Slippery Slope,"If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers.",slippery slope,slippery slope
40850,https://quizizz.com/admin/quiz/5fa94745abef66001b5aeb64/fallacy-quiz,Fallacy Quiz,9th - 12th grade,slippery slope,"If we let our child out of his room, eventually he will want to leave the house, and will end up on the street. If he is walking around on the street then he will be snatched up by a stranger and sold into slavery in a remote region on the World.",slippery slope,slippery slope
40896,https://quizizz.com/admin/quiz/5a299094876fa01100a5d10b/logical-fallacy-review,Logical Fallacy Review,8th - 9th grade,slippery slope,"Don't ever steal! Once you start, you won't be able to stop, and you'll end up bankrupt.",slippery slope,slippery slope
45509,https://quizizz.com/admin/quiz/5fa314fe29f97f001b7e198f/fallacy-quiz,Fallacy Quiz,11th grade,Slippery Slope,"If you eat that cookie tonight, you'll eat ten tomorrow, and by this time next year, you'll be eating 1 million cookies a day.",slippery slope,slippery slope
41089,https://quizizz.com/admin/quiz/5c052a53f1cae6001ab2d649/easier-logical-fallacy-review,Easier Logical Fallacy Review,8th grade,Slippery slope,"If I go to the bathroom, I will miss the notes, then I'll do poorly on a test, then I won't get into college, so I won't go to the bathroom.",slippery slope,slippery slope
41339,https://quizizz.com/admin/quiz/606ff0f48e5148001c3e4891/elt-fallacies-in-writing-nd,ELT323 -Fallacies in Writing (2nd),University,Slippery slope T,"""If I raise you, I must raise everyone, and then the company goes bankrupt.""",slippery slope,slippery slope
43221,https://quizizz.com/admin/quiz/5f1a97984ffed6001b997086/logical-fallacies,Logical fallacies,10th - 12th grade,slippery slope,"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track school children and eventually everyone!",slippery slope,slippery slope
43225,https://quizizz.com/admin/quiz/5f1a97984ffed6001b997086/logical-fallacies,Logical fallacies,10th - 12th grade,slippery slope,"If you're going to add that much salt to the soup, you might as well pour the whole box in!",slippery slope,slippery slope
42325,https://quizizz.com/admin/quiz/5dcb28944bb29b001f3c5e53/logical-fallacies-false-logic,Logical Fallacies (False Logic),8th grade,slippery slope,one thing leads to another and another and another. . . creates a “snowball” effect.,slippery slope,slippery slope
42334,https://quizizz.com/admin/quiz/5dcb28944bb29b001f3c5e53/logical-fallacies-false-logic,Logical Fallacies (False Logic),8th grade,slippery slope,If we get rid of assault weapons for citizens then we will also soon lose freedom of speech and all freedoms as other countries rush in to conquer us (if the zombies don’t exterminate us first!),slippery slope,slippery slope
42479,https://quizizz.com/admin/quiz/5821269bd6a87cd126903137/logical-fallacies,Logical Fallacies,11th grade,slippery slope,"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",slippery slope,slippery slope
42682,https://quizizz.com/admin/quiz/5955a3f0181ab41000ac5a83/debate-fallacies,Debate Fallacies,9th - 12th grade,Slippery Slope,"Lindsay's mom is concerned when she finds out that Lindsay skipped class one day. She tells Lindsay that she will now start skipping more frequently. Then she will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of her life.
What type of fallacy has Lindsay's mom committed?",slippery slope,slippery slope
42685,https://quizizz.com/admin/quiz/5955a3f0181ab41000ac5a83/debate-fallacies,Debate Fallacies,9th - 12th grade,Slippery Slope,"Justin claimed that passing federal laws to control the amount of violence in music is the first step in a process that will eventually result in absolute government control of the media and total censorship over all forms of artistic expression.
Of what fallacy is this an example?",slippery slope,slippery slope
42733,https://quizizz.com/admin/quiz/5e66ec8210bf64001b1fa963/logical-fallacies,Logical Fallacies,8th - 10th grade,slippery slope,"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.",slippery slope,slippery slope
42762,https://quizizz.com/admin/quiz/5dd1e2da4b69e5001bff3e97/emotional-fallacies,Emotional Fallacies,11th - 12th grade,Slippery Slope,"If you don't go to camp, you won't have fun this summer, and your whole summer will be ruined!",slippery slope,slippery slope
45372,https://quizizz.com/admin/quiz/5a0f0600920b9b1100fb5669/logical-fallacy,Logical Fallacy,9th - 11th grade,slippery slope,"If we allow euthanasia, the next thing you know, murder will be legal.",slippery slope,slippery slope
42978,https://quizizz.com/admin/quiz/5acf4dab10b79500199e447d/fallacies-bias-quiz,Fallacies/Bias Quiz,11th grade,Slippery Slope,"Colin Closet asserts that if we allow same-sex couples to marry, then the next thing we know we'll be allowing people to marry their parents, their cars and even monkeys.",slippery slope,slippery slope
43014,https://quizizz.com/admin/quiz/57ce081d2c713dc7aebd1484/logical-fallacies,Logical Fallacies,K - University grade,Slippery Slope,"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",slippery slope,slippery slope
43123,https://quizizz.com/admin/quiz/5fab3cc677f31f001e81b694/appeals-and-fallacies-quiz,2.2 Appeals and Fallacies Quiz,10th grade,Slippery Slope,"If we control Covid-19 with measures that are too draconian, we could wind up with a government that regularly clamps down on its citizens, with bar codes on wrists and cameras in your houses that watch you all the time.",slippery slope,slippery slope
43240,https://quizizz.com/admin/quiz/5e97bbd812a258001ba32871/fallacies,Fallacies 1,University,Slippery slope,"Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization.",slippery slope,slippery slope
43327,https://quizizz.com/admin/quiz/601af49c678cb2001f54a78b/th-logical-fallacies,8th Logical Fallacies,8th grade,slippery slope,"Your honor, if we let Pinocchio get away with lying, what's next? Stealing? Murder? ...",slippery slope,slippery slope
43521,https://quizizz.com/admin/quiz/5ff71d402841f5001b57bc06/logical-fallacies-practice,Logical Fallacies Practice,8th grade,Slippery slope,"If we use one more can of hairspray this month, the ozone layer will not exist, and we will not exist!",slippery slope,slippery slope
43522,https://quizizz.com/admin/quiz/5ff71d402841f5001b57bc06/logical-fallacies-practice,Logical Fallacies Practice,8th grade,Slippery Slope,"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.",slippery slope,slippery slope
46362,https://quizizz.com/admin/quiz/611063b0a9c0ca001ba88e7c/logic-quiz,Logic Quiz 1,12th grade,Slippery Slope,"Asserting that if we allow ""A"" to happen, then ""Z"" will consequently happen too, therefore ""A"" should not happen.",slippery slope,slippery slope
44019,https://quizizz.com/admin/quiz/6024766901d0c1001b04761f/logical-fallacies-practice,Logical Fallacies Practice,8th - 10th grade,Slippery Slope,"We can’t freeze the academic year because then students won’t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.
No podemos congelar el año académico porque entonces los estudiantes no se graduarán a tiempo. Lo siguiente que sabes es que la mayoría de la gente estará desempleada y recurrirá al crimen. La tasa de criminalidad se disparará y la sociedad colapsará.",slippery slope,slippery slope
44020,https://quizizz.com/admin/quiz/6024766901d0c1001b04761f/logical-fallacies-practice,Logical Fallacies Practice,8th - 10th grade,Slippery Slope,"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.
¡Nunca debes apostar! Una vez que empiece a jugar, le resultará difícil dejar de jugar. Pronto gastará todo su dinero en juegos de azar y, finalmente, recurrirá a la delincuencia solo para apoyar su adicción al juego.",slippery slope,slippery slope
44022,https://quizizz.com/admin/quiz/6024766901d0c1001b04761f/logical-fallacies-practice,Logical Fallacies Practice,8th - 10th grade,Slippery Slope,"If you allow one student to take an online course, soon
everyone will want to, and the schools will be empty.
Si permite que un estudiante tome un curso en línea, pronto todos querrán, y las escuelas estarán vacías.",slippery slope,slippery slope
45404,https://quizizz.com/admin/quiz/5dd2aca5fc8633001bc7b986/fallacy-review,Fallacy Review,9th - 12th grade,slippery slope,"“If we allow gay people to get married, then the next thing you know people will be wanting to marry their pets!”",slippery slope,slippery slope
46033,https://quizizz.com/admin/quiz/5fa5924f4bc06f001bf18f58/logical-fallacy-quiz-swhs,Logical Fallacy Quiz SWHS,9th - 12th grade,Slippery Slope,"""If you give a mouse a cookie, he'll want a glass of milk to go with it"" is a book built around THIS fallacy.",slippery slope,slippery slope
46193,https://quizizz.com/admin/quiz/5f6c80f99d567d001c3fb718/what-is-philosophy,What is Philosophy,11th - 12th grade,Slippery Slope,"""If you don't get an A in Mr. K's class you will fail high school, never graduate, and end up fighting people for nickels under freeway as a career""",slippery slope,slippery slope
46335,https://quizizz.com/admin/quiz/60747fe9f0a1a7001d7b0b2a/speech-review,Speech Review,9th - 12th grade,Slippery Slope,"If we let the government ban SUVs, then they're going to want to ban trucks! Then they'll want to ban sports cars! Then they'll want to ban all cars!",slippery slope,slippery slope
45795,https://quizizz.com/admin/quiz/601ab1436b68c3001b346fbc/logical-fallacy,Logical Fallacy,University,Circular Reasoning,"America is the best place to live, because it's better than any other country.",circular,circular
11,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,circular logic,The red bicycle is red.,circular,circular
45794,https://quizizz.com/admin/quiz/601ab1436b68c3001b346fbc/logical-fallacy,Logical Fallacy,University,Circular Reasoning,The news is fake because so much of the news is fake.,circular,circular
41504,https://quizizz.com/admin/quiz/5e39b6dee4b2eb001b316c4d/name-that-logical-fallacy,Name that Logical Fallacy-3,11th - University,circular reasoning,"""The Cardinals are the best football team because they're better than all the other teams.""",circular,circular
98,https://quizizz.com/admin/quiz/5e567bd2b92c06001b7421e0/logical-fallacies,Logical Fallacies,8th grade,Circular Reasoning,"Quinoa is a delicious, plant-based source of protein because it tastes so darn good.",circular,circular
170,https://quizizz.com/admin/quiz/5cbde6b63d0929001a1ffc3c/logical-fallacies,Logical Fallacies,10th grade,begging the question/circular reasoning,God exists. How do you know? Because it says so in the Bible.,circular,begging the question; circular
287,https://quizizz.com/admin/quiz/5d922913b68824001a751943/logical-fallacies,Logical Fallacies,11th grade,circular reasoning,"She is good at writing because she writes words effectively.""",circular,circular
45906,https://quizizz.com/admin/quiz/5ba47346e4fc100019e0c6da/logical-fallacy-examples,Logical Fallacy examples,9th - 12th grade,Circular Reasoning,President Reagan was a great communicator because he had the knack of talking effectively to the people.,circular,circular
44810,https://quizizz.com/admin/quiz/60c66e403fb5ff001bc8192e/logical-fallacies-part,Logical Fallacies Part 1,6th - 12th grade,Circular Reasoning,Plagiarism is deceitful because it is dishonest.,circular,begging the question; circular
389,https://quizizz.com/admin/quiz/60871eab7d7eb8001bf0d82a/logical-fallacies,Logical Fallacies,8th grade,Circular Argument,Canada is the best country to live in because it's better than the other countries!,circular,circular
469,https://quizizz.com/admin/quiz/608aa4ecb8575b001cc6ef62/logical-fallacies,logical fallacies,9th - 12th grade,circular reasoning,The thing about the new math teacher (who is an excellent teacher) is that he/she really stands out because he/she has good teaching skills.,circular,circular
498,https://quizizz.com/admin/quiz/5f553796946249001b8e181c/logical-fallacies,Logical Fallacies,9th - 12th grade,Begging the Question,Repeating the same thing as if you’re proving something,circular,begging the question
554,https://quizizz.com/admin/quiz/5c87e8b2d42466001bb19a83/logical-fallacies,Logical Fallacies #5,8th grade,circular reasoning,"Witchcraft remains our most urgent spiritual problem because it threatens
our very souls.",circular,circular
587,https://quizizz.com/admin/quiz/606e159096512c001b668565/logical-fallacies,Logical Fallacies,9th - 12th grade,Begging the Question,The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.,circular,begging the question
588,https://quizizz.com/admin/quiz/606e159096512c001b668565/logical-fallacies,Logical Fallacies,9th - 12th grade,Begging the Question,The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo’s Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.,circular,begging the question
643,https://quizizz.com/admin/quiz/5fc513ccc22a8c001b2c995b/logical-fallacies-more,Logical Fallacies & More,9th - 12th grade,Circular Reasoning,"America is the best place to live, because it's better than any other country. (This is a good example of...)",circular,circular
675,https://quizizz.com/admin/quiz/58eaee695faa9d643b89c21b/als-logical-fallacies,ALS411 Logical Fallacies,University grade,Begging the question,"Bill: I think capital punishment is wrong.
Adam: No it isn't. If it was wrong, it wouldn't be legal.
Of which fallacy is this an example?  http://www.funtrivia.com",circular,begging the question
793,https://quizizz.com/admin/quiz/5da783b3216605001ad267df/match-logical-fallacies,Match Logical Fallacies,10th - 12th grade,Circular Reasoning,Cell phones stop students from concentrating in class because they are distracting.,circular,circular
900,https://quizizz.com/admin/quiz/603f9f9db56df1001b02cfc7/logical-fallacies-daniella-a,Logical Fallacies <Daniella A.>,1st - Professional development,Begging the question,Fast food is bad for you because is junk.,circular,begging the question
952,https://quizizz.com/admin/quiz/6052ef81fd93a6001d44b2fa/logical-fallacies-and-public-speaking,Logical Fallacies and Public Speaking,12th grade,Begging the Question,"""Ghosts exist.... because I saw a ghost in my closet,"" is an example of what logical fallacy?",circular,begging the question
45916,https://quizizz.com/admin/quiz/5ba47346e4fc100019e0c6da/logical-fallacy-examples,Logical Fallacy examples,9th - 12th grade,circular reasoning: an argument that supports a claim with the claim itself,How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.,circular,circular
1059,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,Logical Fallacies,7th - 8th grade,circular reasoning: an argument that supports a claim with the claim itself,"President Bennett is an effective communicator, because he has a natural talent for speaking with people.
against",circular,circular
1071,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,Logical Fallacies,7th - 8th grade,circular reasoning: an argument that supports a claim with the claim itself,"Pamela never lies. She told me herself, so it must be true.",circular,circular
1072,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,Logical Fallacies,7th - 8th grade,circular reasoning: an argument that supports a claim with the claim itself,"Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history.",circular,circular
1089,https://quizizz.com/admin/quiz/60548cc5a25098001b13f9f8/logical-fallacies,Logical Fallacies,9th - 12th grade,circular argument,“Harold’s new book is well-written because Harold is a wonderful writer.”,circular,circular
1186,https://quizizz.com/admin/quiz/609924bc4c22dd001bc0b177/claims-counterclaims-fallacies,"Claims, Counterclaims, & Fallacies",9th - 10th grade,"circular reasoning
an argument that supports a claim with the claim itself","The number of pirates in existence decreased as the global average temperature rose. Therefore, we can conclude that hotter weather reduces piracy.",circular,circular
1366,https://quizizz.com/admin/quiz/5c6cbd74936b92001a45521b/logical-fallacies,LOGICAL FALLACIES,10th grade,Circular thinking,"""When my parents talk to me about how important it is to learn a second language, I remind them they didn't learn another language.",circular,circular
1399,https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies,Logical Fallacies,10th - 12th grade,Circular reasoning: an argument that supports a claim with the claim itself,Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,circular,circular
1401,https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies,Logical Fallacies,10th - 12th grade,Circular reasoning: an argument that supports a claim with the claim itself,"Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs.",circular,circular
1402,https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies,Logical Fallacies,10th - 12th grade,Circular reasoning: an argument that supports a claim with the claim itself,Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.,circular,circular
1501,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Circular Reasoning,"You must obey the law, because it’s illegal to break the law.",circular,circular
1503,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Circular Reasoning,You have to invite Jenna to your party because it would not be nice not to invite Jenna.,circular,circular
1592,https://quizizz.com/admin/quiz/5fe94858a0463a001b61cfcc/logical-fallacies,Logical Fallacies,9th - 12th grade,Circular Argument - The “evidence” just restates the claim.,1. “iPhones are the best smartphones on the market because Apple makes the best smartphones.”,circular,circular
1600,https://quizizz.com/admin/quiz/5fe94858a0463a001b61cfcc/logical-fallacies,Logical Fallacies,9th - 12th grade,Begging the Question,"“I know that what I experience is real because I can see, hear, smell, touch and taste everything.”",circular,begging the question
1754,https://quizizz.com/admin/quiz/5fd38f9d790f6c001b94a240/logical-fallacies,Logical Fallacies,6th - 8th grade,Circular reasoning,"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",circular,circular
2065,https://quizizz.com/admin/quiz/5e3d6e7a8d479c001bcdfe4d/logical-fallacies-rhetorical-devices,Logical Fallacies & Rhetorical Devices,8th grade,circular reasoning,That restaurant is popular because everyone in town goes there.,circular,circular
2049,https://quizizz.com/admin/quiz/5f27887aab7ffa001b391645/logical-appeals-fallacies,Logical Appeals & Fallacies,9th - 12th grade,Circular Reasoning,"You can't give me a C! I'm an A student, a C is just wrong!",circular,circular
48815,https://quizizz.com/admin/quiz/60229498591fa9001ba366a5/unit-review,Unit 4 Review,7th - 8th grade,Circular Reasoning,This is an example of....,circular,circular
42912,https://quizizz.com/admin/quiz/5f5eb6911fc223001bc34b31/logical-fallacies,Logical Fallacies,12th grade,circular reasoning,"You must obey the law, because it's illegal to break the law.",circular,circular
2093,https://quizizz.com/admin/quiz/5e208950881f96001b246eab/logical-fallacies,Logical Fallacies,8th grade,Circular Reasoning,"Violent video games cause teens to be violent, because violent teens play violent video games.",circular,circular
2126,https://quizizz.com/admin/quiz/602f2741339967001ca8a849/fallacies-of-arguments-based-on-reason,Fallacies of Arguments Based on Reason,11th grade,Begging the Question,"""I have a right to free speech so I can say what I want and you shouldn't try to stop me. """,circular,begging the question
2312,https://quizizz.com/admin/quiz/604262ba8a546c001b3112ac/argumentative-and-logical-fallacies,Argumentative and Logical Fallacies,8th grade,circular reasoning,John Green is a wonderful writer because he writes so well.,circular,circular
44813,https://quizizz.com/admin/quiz/60c66e403fb5ff001bc8192e/logical-fallacies-part,Logical Fallacies Part 1,6th - 12th grade,Circular Reasoning,Why should we put people on trial when we know they are guilty?,circular,begging the question; circular
2511,https://quizizz.com/admin/quiz/5a9d7720b3079e00192c084e/fallacies,Fallacies,8th - 9th grade,Circular Reasoning,Sleeping until noon is the worst thing to do because it is bad to sleep late.,circular,circular
2569,https://quizizz.com/admin/quiz/5db2bfe7c071cc001c22208b/logical-fallacies,Logical Fallacies,11th - 12th grade,Circular Argument,"""The Philippines is in poverty because of poor people.""",circular,circular
2934,https://quizizz.com/admin/quiz/60560434e10317001e4ec2f4/logical-fallacies,Logical Fallacies,9th - 12th grade,Circular Reasoning,Order is necessary to justice because justice can only be achieved by a program of social and legal order.,circular,circular
2946,https://quizizz.com/admin/quiz/5e822728fb03dd001ba9419b/logical-fallacies-part-one,logical fallacies part one,1st grade,Circular argument,"the reason why more people are leaving this country is because of economic problems, therefore because there is an economic problem is that people are leaving this country.",circular,circular
3304,https://quizizz.com/admin/quiz/5fd79a1feb9b65001b6de52a/ap-q-rhetorical-fallacies,AP Q2 Rhetorical fallacies,11th grade,circular reasoning & begging the question,"""I have a right to free speech so I can say what I want and you shouldn't try to stop me"" is an example of",circular,begging the question; circular
3716,https://quizizz.com/admin/quiz/5f94ad435ac957001b6b2e85/fallacies,Fallacies 🤭,9th grade,Circular Reasoning,President Reagan was a great communicator because he had the gift of talking effectively to the people.,circular,circular
3620,https://quizizz.com/admin/quiz/6012e5d77b0272001eadb40d/rhetorical-fallacies,Rhetorical Fallacies,9th - 12th grade,Begging the Question,Taco is the best because it tastes better.,circular,begging the question
3624,https://quizizz.com/admin/quiz/6012e5d77b0272001eadb40d/rhetorical-fallacies,Rhetorical Fallacies,9th - 12th grade,Begging the question,Starbucks is the best because it's expensive.,circular,begging the question
3900,https://quizizz.com/admin/quiz/5ffdbb6b36ee14001ec3829e/fallacies,Fallacies,9th grade,Begging the Question,Distracting and dangerous mobile devices should be banned from use in vehicles.,circular,begging the question
4219,https://quizizz.com/admin/quiz/5e528b7fe6cfb3001ca07fd8/mankind-s-next-giant-leap,Mankind's Next Giant Leap,7th grade,circular reasoning,"""I shouldn't have flunked the test because I never get F's"" is an example of",circular,circular
5227,https://quizizz.com/admin/quiz/5e418ae90e0c7d001b8749e9/logical-fallacy,Logical Fallacy,10th grade,Circular reasoning,Americans should give money to charity because it is the right thing to do.,circular,circular
6063,https://quizizz.com/admin/quiz/5cb0c70b48b73f001a2f710e/persuasive-unit-quiz-review,Persuasive Unit Quiz Review,9th - 12th grade,Circular reasoning,We know he’s not lying since he says he’s telling the truth.,circular,circular
6726,https://quizizz.com/admin/quiz/5e455f8951693e001c452406/fallacies-of-argument-ch,Fallacies of Argument Ch. 5,9th - 12th grade,Begging the Question,"Claim: You can't give me a C in this course...
Reason: ... Because I am an A student.
Warrant: An A student is someone who can't receive Cs.",circular,begging the question
7373,https://quizizz.com/admin/quiz/5c5782791d8cd5001b8b7634/review-of-rhetoric-terminology,Review of Rhetoric Terminology,10th - 12th grade,Circular Reasoning,"Pvt. Joe Bowers: What are these electrolytes? Do you even know?
Secretary of State: They're... what they use to make Brawndo!
Pvt. Joe Bowers: But why do they use them to make Brawndo?
Secretary of Defense: [raises hand after a pause] Because Brawndo's got electrolytes.",circular,circular
9962,https://quizizz.com/admin/quiz/60621ec7d83485001b4bdbc7/genre-elements-review,GENRE Elements Review,8th grade,Circular Argument,"""You must obey the law, because it's illegal to break the law.""

What logical fallacy is used in the statement above?",circular,circular
26633,https://quizizz.com/admin/quiz/5da51e9c97d927001a6730fb/debate-fallacy-proposition-listening-and-language,"Debate (Fallacy, Proposition, Listening and Language)",University,begging the question,"Bob: that movie was a waste of time and money
Ted: what was wrong with it?
Bob: It sucked

This is an example of?",circular,begging the question
38346,https://quizizz.com/admin/quiz/60af1e206d0afa001be806c2/chapter-introductions,Chapter 7: Introductions,University,Circular logic,"""All eighteen-year-olds have the right to vote because it's legal for them to vote.""",circular,circular
38354,https://quizizz.com/admin/quiz/5d7061e8154c4d001a5ae7b1/test-your-fallacies,Test your Fallacies,11th - University,Begging the Question,Global warming doesn’t exist because the earth is not getting warmer,circular,begging the question
38359,https://quizizz.com/admin/quiz/5d7061e8154c4d001a5ae7b1/test-your-fallacies,Test your Fallacies,11th - University,Begging the question,The greatest thing that we can do is to love each other. Love is better than any other emotion.,circular,begging the question
38828,https://quizizz.com/admin/quiz/5ddc131a4e358d001b70521d/false-assumptions-fallacies,False Assumptions Fallacies,8th grade,Circular Reasoning Fallacy,"I am athletic because I run, and I run because I'm athletic.",circular,circular
38831,https://quizizz.com/admin/quiz/5ddc131a4e358d001b70521d/false-assumptions-fallacies,False Assumptions Fallacies,8th grade,Circular Reasoning Fallacy,"“We must accept the traditions of the men of old time who affirm themselves to be the offspring of the gods - that is what they say - and they must surely have known their own ancestors. How can we doubt the word of the children of the gods?” - Plato, Timaeus",circular,circular
38833,https://quizizz.com/admin/quiz/5dfa3507a2918c001b19927c/rhetorical-fallacies-practice,Rhetorical Fallacies Practice,9th - 12th grade,circular reasoning: an argument that supports a claim by repeating the claim,"Thanks to her enduring popularity with employees, Sophia Lloyd is the best-liked CEO in our company's history.",circular,circular
40352,https://quizizz.com/admin/quiz/5bf424d6a836e8001af7a327/fallacies,fallacies,9th grade,Begging the Question,Paranormal activity is real because I have experienced what can only be described as paranormal activity.,circular,begging the question
40482,https://quizizz.com/admin/quiz/5c66d1598f4927001bd3d168/jfk-s-speech-of-the-aerospace-medical-health-center,JFK's Speech of the Aerospace Medical Health Center,7th grade,Circular Reasoning,"""But this here research must go on. This space effort must go on"" is an example of which logical fallacy?",circular,circular
40745,https://quizizz.com/admin/quiz/5a28cc61cda7021100a4a199/evaluating-arguments,Evaluating Arguments,9th - 12th grade,Circular Reasoning,I hated the movie because it was the worst movie I ever saw.,circular,circular
45508,https://quizizz.com/admin/quiz/5fa314fe29f97f001b7e198f/fallacy-quiz,Fallacy Quiz,11th grade,Circular Reasoning,This has to work so it will work.,circular,circular
45511,https://quizizz.com/admin/quiz/5fa314fe29f97f001b7e198f/fallacy-quiz,Fallacy Quiz,11th grade,Begging the Question,Paranormal activity is real because I've seen a ghost.,circular,begging the question
41127,https://quizizz.com/admin/quiz/5a663673f2554e001b8563e1/logical-fallacy-review-game,Logical Fallacy Review Game,9th - 12th grade,circular reasoning,"""It is what it is!""",circular,circular
41334,https://quizizz.com/admin/quiz/606ff0f48e5148001c3e4891/elt-fallacies-in-writing-nd,ELT323 -Fallacies in Writing (2nd),University,Begging the question,"""I stay away from those gatherings because I don't want to be brainwashed.""",circular,begging the question
43223,https://quizizz.com/admin/quiz/5f1a97984ffed6001b997086/logical-fallacies,Logical fallacies,10th - 12th grade,circular reasoning/begging the question,Politician Running for Public Office: You can all trust what I say. I have never lied in my life.,circular,begging the question; circular
42309,https://quizizz.com/admin/quiz/5aa8942d5ae5a90019188726/fallacies,Fallacies,9th - 12th grade,circular reasoning,"God did not create the world six thousand years ago because matter has always existed, and therefore the world has always existed.",circular,circular
42330,https://quizizz.com/admin/quiz/5dcb28944bb29b001f3c5e53/logical-fallacies-false-logic,Logical Fallacies (False Logic),8th grade,circular reasoning,"Whatever is less dense than water will float, because such objects won't sink in water.",circular,circular
42343,https://quizizz.com/admin/quiz/5f92210a751b3b001b2262a2/logical-fallacies,Logical Fallacies,10th - 12th grade,CIRCULAR LOGIC,"""He's the best teacher I've ever had because he's the best teacher I've known.""",circular,circular
42345,https://quizizz.com/admin/quiz/5f92210a751b3b001b2262a2/logical-fallacies,Logical Fallacies,10th - 12th grade,CIRCULAR LOGIC,"""You can't give me a D because I'm an A student!""",circular,circular
